Date - Intl. format or prompt,Text,Link(s) - Separated by comma for FB carousels,Media URL(s) - Separated by comma,"Title - For the video, pin, PDF ..",Label(s) - Separated by comma,Alt text(s) - Separated by ||,Comment(s) - Separated by ||,"Pin board, FB album, or Google category","Post subtype - I.e. story, reel, PDF ..",CTA - For Facebook links or Google,"Reminder - For stories, reels, shorts, and TikTok"
2026/07/15 08:00,"Inferior STEMI, and the pressure just fell off a cliff. What's your move?
👇 Comment your answer before the reveal
🔖 Save this · tag a study buddy
1,500+ board-style Qs — try 3 free at macprep.org (link in bio)
⚕️ Educational only — not medical advice.
#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #RVinfarct",,https://raw.githubusercontent.com/jakeaustinkarel-afk/macprep-web/main/marketing/social-posts/reels/reel-2026-07-15-am.mp4,,,MACPrep clinical question reel — Acute RV infarct / RV failure hemodynamics under anesthesia,,,reel,,
2026/07/15 16:00,"""Give sux — it wears off fast if I can't intubate."" Sugammadex quietly rewrote that rule.

🔖 Save this for your RSI reasoning: spontaneous sux recovery (~8–10 min) can outlast the patient's oxygen, but sugammadex 16 mg/kg reverses profound rocuronium block in ~2–3 min — faster, and without hyperkalemia, MH risk, or bradycardia.

🔖 Save this · tag a study buddy

1,500+ board-style Qs — try 3 free at macprep.org (link in bio)

⚕️ Educational only — not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #sugammadex",,https://raw.githubusercontent.com/jakeaustinkarel-afk/macprep-web/main/marketing/social-posts/reels/reel-2026-07-15-pm.mp4,,,MACPrep pearl reel — Succinylcholine vs rocuronium for RSI + the sugammadex game-,,,reel,,
2026/07/16 08:00,"SCD heading to surgery — more transfusion isn't safer.
👇 Comment your answer before the reveal
🔖 Save this · tag a study buddy
1,500+ board-style Qs — try 3 free at macprep.org (link in bio)
⚕️ Educational only — not medical advice.
#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #sicklecell",,https://raw.githubusercontent.com/jakeaustinkarel-afk/macprep-web/main/marketing/social-posts/reels/reel-2026-07-16-am.mp4,,,MACPrep clinical question reel — Sickle cell disease perioperative transfusion strategy,,,reel,,
2026/07/16 16:00,placeholder,,https://raw.githubusercontent.com/jakeaustinkarel-afk/macprep-web/main/marketing/social-posts/reels/reel-2026-07-16-pm.mp4,,,MACPrep pearl reel — Hypoxic pulmonary vasoconstriction and what blunts it,,,reel,,
2026/07/17 08:00,"Her K+ is 6.4 and she's bradycardic on digoxin — the reflex move to treat hyperkalemia could be the wrong one.

👇 Comment your answer before the reveal
🔖 Save this · tag a study buddy
1,500+ board-style Qs — try 3 free at macprep.org (link in bio)
⚕️ Educational only — not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #digoxin",,https://raw.githubusercontent.com/jakeaustinkarel-afk/macprep-web/main/marketing/social-posts/reels/reel-2026-07-17-am.mp4,,,MACPrep clinical question reel — Digoxin toxicity with hyperkalemia — Fab antidote,,,reel,,
2026/07/17 16:00,"CO2 is a ramp, O2 is a cliff, pressure is a plateau — three curves that run cerebral blood flow, and even seasoned CAAs blur them together.

🔖 Save this before your next neuro case · tag a study buddy

1,500+ board-style Qs — try 3 free at macprep.org (link in bio)

⚕️ Educational only — not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #neuroanesthesia",,https://raw.githubusercontent.com/jakeaustinkarel-afk/macprep-web/main/marketing/social-posts/reels/reel-2026-07-17-pm.mp4,,,"MACPrep pearl reel — Cerebral blood flow: CO2 line, O2 cliff, autoregulation plat",,,reel,,
2026/07/18 08:00,"Myasthenia flips the NMB rules you memorized — and the ""safe"" choice is the trap.

👇 Comment your answer before the reveal
🔖 Save this · tag a study buddy
1,500+ board-style Qs — try 3 free at macprep.org (link in bio)
⚕️ Educational only — not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #myastheniagravis",,https://raw.githubusercontent.com/jakeaustinkarel-afk/macprep-web/main/marketing/social-posts/reels/reel-2026-07-18-am.mp4,,,MACPrep clinical question reel — Myasthenia gravis and neuromuscular blockers: succinylcholin,,,reel,,
2026/07/18 16:00,"Obese patients desaturate in seconds even after a flawless preox — and the reason is physics, not technique. 🫁 Low FRC (shrunken O2 reservoir) + high oxygen consumption (fast drain) = almost no apneic buffer. Supine makes both worse; ramping (HELP position: ear to sternal notch, head elevated) unloads the diaphragm, restores FRC, and improves your laryngoscopic view. Add head-up preox + nasal-cannula apneic oxygenation.

🔖 Save this before your next bariatric case · tag a study buddy

1,500+ board-style Qs — try 3 free at macprep.org (link in bio)

⚕️ Educational only — not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #airwaymanagement",,https://raw.githubusercontent.com/jakeaustinkarel-afk/macprep-web/main/marketing/social-posts/reels/reel-2026-07-18-pm.mp4,,,MACPrep pearl reel — Bariatric airway: ramped/HELP position + rapid desaturation ,,,reel,,
2026/07/19 08:00,"Spina bifida patient, 40 minutes in, and the pressure just cratered. Latex anaphylaxis hides in the timing.
👇 Comment your answer before the reveal
🔖 Save this · tag a study buddy
1,500+ board-style Qs — try 3 free at macprep.org (link in bio)
⚕️ Educational only — not medical advice.
#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #latexallergy",,https://raw.githubusercontent.com/jakeaustinkarel-afk/macprep-web/main/marketing/social-posts/reels/reel-2026-07-19-am.mp4,,,MACPrep clinical question reel — Latex anaphylaxis (intraop),,,reel,,
2026/07/19 16:00,"The one-letter trick that predicts a local anesthetic allergy. 🔖 Save this before your next block or spinal.
🔖 Save this · tag a study buddy
1,500+ board-style Qs — try 3 free at macprep.org (link in bio)
⚕️ Educational only — not medical advice.
#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #localanesthetics",,https://raw.githubusercontent.com/jakeaustinkarel-afk/macprep-web/main/marketing/social-posts/reels/reel-2026-07-19-pm.mp4,,,MACPrep pearl reel — Local anesthetics: ester vs amide,,,reel,,
2026/07/20 08:00,"Polymorphic VT twisting across the monitor mid-case — reach for amiodarone and you only make it worse.
👇 Comment your answer before the reveal
🔖 Save this · tag a study buddy
1,500+ board-style Qs — try 3 free at macprep.org (link in bio)
⚕️ Educational only — not medical advice.
#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #torsades",,https://raw.githubusercontent.com/jakeaustinkarel-afk/macprep-web/main/marketing/social-posts/reels/reel-2026-07-20-am.mp4,,,MACPrep clinical question reel — Drug-induced long QT → torsades intraop: magnesium first-lin,,,reel,,
2026/07/20 16:00,"""Low CVP, give fluid"" is one of anesthesia's most persistent myths — and the data says CVP barely beats a coin flip at predicting who needs volume. 🔖 Save this before your next hemodynamics oral. 🔖 Save this · tag a study buddy. 1,500+ board-style Qs — try 3 free at macprep.org (link in bio). ⚕️ Educational only — not medical advice. #anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #hemodynamics",,https://raw.githubusercontent.com/jakeaustinkarel-afk/macprep-web/main/marketing/social-posts/reels/reel-2026-07-20-pm.mp4,,,MACPrep pearl reel — Fluid responsiveness: dynamic measures beat CVP,,,reel,,
2026/07/21 08:00,"ETCO2 fell off a cliff mid-laparoscopy — and the murmur gave it away.
👇 Comment your answer before the reveal
🔖 Save this · tag a study buddy
1,500+ board-style Qs — try 3 free at macprep.org (link in bio)
⚕️ Educational only — not medical advice.
#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #laparoscopy",,https://raw.githubusercontent.com/jakeaustinkarel-afk/macprep-web/main/marketing/social-posts/reels/reel-2026-07-21-am.mp4,,,MACPrep clinical question reel — CO2 embolism during laparoscopy,,,reel,,
2026/07/21 16:00,"Three aspiration meds. Only one protects the patient you're inducing right now.

Sodium citrate (non-particulate antacid) neutralizes the acid already sitting in the stomach within minutes — so it's the one that matters for the emergent, full-stomach case. Famotidine only blocks NEW acid secretion and needs 30–60+ minutes. Metoclopramide needs lead time too, and opioids or mechanical obstruction blunt it. Give the citrate LAST, right before induction. And never reach for a particulate antacid — it's the one that actually damages lung if aspirated.

🔖 Save this for your rapid-sequence cases · tag a study buddy

1,500+ board-style Qs — try 3 free at macprep.org (link in bio)

⚕️ Educational only — not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #aspirationprophylaxis",,https://raw.githubusercontent.com/jakeaustinkarel-afk/macprep-web/main/marketing/social-posts/reels/reel-2026-07-21-pm.mp4,,,MACPrep pearl reel — Aspiration prophylaxis pharmacology and timing,,,reel,,
